image_id,sample_id,image_number,cell_label,centroid_row,centroid_column,radial_bin,radius_start,radius_end,section_size_pixels,aggregate_pixels,aggregate_present,aggregate_fraction,aggregate_share,intensity_sum,intensity_mean,intensity_share,cumulative_normalized_intensity
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,0,0.0,0.1,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,1,0.1,0.2,3,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,2,0.2,0.3,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,3,0.3,0.4,38,1,True,0.02631578947368421,0.058823529411764705,907.0,907.0,0.05613665903323637,0.05613665903323637
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,4,0.4,0.5,44,2,True,0.045454545454545456,0.11764705882352941,2097.0,1048.5,0.12978894596769203,0.1859256050009284
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,5,0.5,0.6,70,4,True,0.05714285714285714,0.23529411764705882,4193.0,1048.25,0.25951599925728785,0.4454416042582162
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,6,0.6,0.7,79,1,True,0.012658227848101266,0.058823529411764705,829.0,829.0,0.051309030141734234,0.49675063439995043
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,7,0.7,0.8,101,1,True,0.009900990099009901,0.058823529411764705,810.0,810.0,0.05013306925790679,0.5468837036578572
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,8,0.8,0.9,130,2,True,0.015384615384615385,0.11764705882352941,1785.0,892.5,0.11047843040168348,0.6573621340595407
E3_089plate1.tif,E3,4,3,1422.674740484429,1523.311418685121,9,0.9,1.0,196,6,True,0.030612244897959183,0.35294117647058826,5536.0,922.6666666666666,0.34263786594045925,1.0
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,0,0.0,0.1,4,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,1,0.1,0.2,19,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,2,0.2,0.3,33,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,3,0.3,0.4,46,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,4,0.4,0.5,59,15,True,0.2542372881355932,0.05454545454545454,55511.0,3700.733333333333,0.08326533428532,0.08326533428532
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,5,0.5,0.6,73,47,True,0.6438356164383562,0.1709090909090909,142644.0,3034.978723404255,0.21396300451793676,0.2972283388032568
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,6,0.6,0.7,94,73,True,0.776595744680851,0.26545454545454544,189566.0,2596.794520547945,0.28434501916973165,0.5815733579729885
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,7,0.7,0.8,107,86,True,0.8037383177570093,0.31272727272727274,190761.0,2218.1511627906975,0.28613749407508293,0.8677108520480714
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,8,0.8,0.9,124,48,True,0.3870967741935484,0.17454545454545456,81132.0,1690.25,0.12169629625185248,0.9894071482999239
E3_089plate1.tif,E3,4,4,1434.4973544973545,2218.6984126984125,9,0.9,1.0,190,6,True,0.031578947368421054,0.02181818181818182,7062.0,1177.0,0.010592851700076199,1.0000000000000002
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,0,0.0,0.1,4,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,1,0.1,0.2,9,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,2,0.2,0.3,30,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,3,0.3,0.4,59,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,4,0.4,0.5,109,1,True,0.009174311926605505,0.007142857142857143,830.0,830.0,0.005997283158472788,0.005997283158472788
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,5,0.5,0.6,147,20,True,0.1360544217687075,0.14285714285714285,19269.0,963.45,0.13923090262724355,0.14522818578571633
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,6,0.6,0.7,199,39,True,0.19597989949748743,0.2785714285714286,36574.0,937.7948717948718,0.2642706436602214,0.40949882944593774
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,7,0.7,0.8,223,46,True,0.2062780269058296,0.32857142857142857,44348.0,964.0869565217391,0.32044278736379667,0.7299416168097344
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,8,0.8,0.9,277,25,True,0.09025270758122744,0.17857142857142858,27958.0,1118.32,0.2020145090898581,0.9319561258995924
E3_089plate1.tif,E3,4,5,1439.5772727272727,1521.459090909091,9,0.9,1.0,375,9,True,0.024,0.06428571428571428,9417.0,1046.3333333333333,0.06804387410040752,1.0
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,0,0.0,0.1,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,1,0.1,0.2,8,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,2,0.2,0.3,28,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,3,0.3,0.4,50,4,True,0.08,0.011764705882352941,9889.0,2472.25,0.01824215637082731,0.01824215637082731
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,4,0.4,0.5,69,31,True,0.4492753623188406,0.09117647058823529,64947.0,2095.064516129032,0.1198071928219356,0.1380493491927629
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,5,0.5,0.6,79,56,True,0.7088607594936709,0.16470588235294117,110500.0,1973.2142857142858,0.20383843452082287,0.34188778371358575
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,6,0.6,0.7,106,66,True,0.6226415094339622,0.19411764705882353,123153.0,1865.9545454545455,0.22717931879224343,0.5690671025058291
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,7,0.7,0.8,118,77,True,0.652542372881356,0.22647058823529412,113257.0,1470.8701298701299,0.20892424957941028,0.7779913520852394
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,8,0.8,0.9,139,71,True,0.5107913669064749,0.2088235294117647,83502.0,1176.0845070422536,0.15403544759599774,0.9320267996812371
E3_089plate1.tif,E3,4,6,1453.421875,1310.0052083333333,9,0.9,1.0,200,35,True,0.175,0.10294117647058823,36848.0,1052.8,0.06797320031876272,0.9999999999999999
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,0,0.0,0.1,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,1,0.1,0.2,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,2,0.2,0.3,14,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,3,0.3,0.4,15,2,True,0.13333333333333333,0.18181818181818182,3527.0,1763.5,0.24245548910428266,0.24245548910428266
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,4,0.4,0.5,27,3,True,0.1111111111111111,0.2727272727272727,4594.0,1531.3333333333333,0.3158039458307555,0.5582594349350382
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,5,0.5,0.6,33,2,True,0.06060606060606061,0.18181818181818182,2621.0,1310.5,0.1801746064480649,0.7384340413831031
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,6,0.6,0.7,42,3,True,0.07142857142857142,0.2727272727272727,2844.0,948.0,0.19550422767580944,0.9339382690589125
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,7,0.7,0.8,46,1,True,0.021739130434782608,0.09090909090909091,961.0,961.0,0.06606173094108751,1.0
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,8,0.8,0.9,65,0,False,0.0,0.0,0.0,0.0,0.0,1.0
E3_089plate1.tif,E3,4,7,1501.4814814814815,1704.6296296296296,9,0.9,1.0,90,0,False,0.0,0.0,0.0,0.0,0.0,1.0
E3_089plate1.tif,E3,4,8,1581.8411764705882,2084.294117647059,0,0.0,0.1,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,8,1581.8411764705882,2084.294117647059,1,0.1,0.2,10,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,8,1581.8411764705882,2084.294117647059,2,0.2,0.3,19,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,8,1581.8411764705882,2084.294117647059,3,0.3,0.4,42,12,True,0.2857142857142857,0.021739130434782608,21357.0,1779.75,0.023521961319881934,0.023521961319881934
E3_089plate1.tif,E3,4,8,1581.8411764705882,2084.294117647059,4,0.4,0.5,85,54,True,0.6352941176470588,0.09782608695652174,100020.0,1852.2222222222222,0.11015903784307679,0.13368099916295872
E3_089plate1.tif,E3,4,8,1581.8411764705882,2084.294117647059,5,0.5,0.6,112,82,True,0.7321428571428571,0.14855072463768115,167064.0,2037.3658536585365,0.18399929512313318,0.3176802942860919
